Tip,Nume,Judet,UAT
Municipiu,Vaslui,Vaslui,Primăria Municipiului Vaslui
Municipiu,Bârlad,Vaslui,Primăria Municipiului Bârlad
Municipiu,Huși,Vaslui,Primăria Municipiului Huși
Oraș,Negrești,Vaslui,Primăria Orașului Negrești
Oraș,Murgeni,Vaslui,Primăria Orașului Murgeni
Comuna,Albești,Vaslui,Primăria Comunei Albești
Comuna,Alexandru Vlahuță,Vaslui,Primăria Comunei Alexandru Vlahuță
Comuna,Arsura,Vaslui,Primăria Comunei Arsura
Comuna,Banca,Vaslui,Primăria Comunei Banca
Comuna,Băcani,Vaslui,Primăria Comunei Băcani
Comuna,Băcești,Vaslui,Primăria Comunei Băcești
Comuna,Bălteni,Vaslui,Primăria Comunei Bălteni
Comuna,Berezeni,Vaslui,Primăria Comunei Berezeni
Comuna,Blăgești,Vaslui,Primăria Comunei Blăgești
Comuna,Bogdana,Vaslui,Primăria Comunei Bogdana
Comuna,Bogdănești,Vaslui,Primăria Comunei Bogdănești
Comuna,Bogdănița,Vaslui,Primăria Comunei Bogdănița
Comuna,Boțești,Vaslui,Primăria Comunei Boțești
Comuna,Bunești-Averești,Vaslui,Primăria Comunei Bunești-Averești
Comuna,Ciobănești,Vaslui,Primăria Comunei Ciobănești
Comuna,Coroiești,Vaslui,Primăria Comunei Coroiești
Comuna,Costești,Vaslui,Primăria Comunei Costești
Comuna,Cozmești,Vaslui,Primăria Comunei Cozmești
Comuna,Crețești,Vaslui,Primăria Comunei Crețești
Comuna,Delești,Vaslui,Primăria Comunei Delești
Comuna,Dimitrie Cantemir,Vaslui,Primăria Comunei Dimitrie Cantemir
Comuna,Dodești,Vaslui,Primăria Comunei Dodești
Comuna,Dragomirești,Vaslui,Primăria Comunei Dragomirești
Comuna,Drânceni,Vaslui,Primăria Comunei Drânceni
Comuna,Duda-Epureni,Vaslui,Primăria Comunei Duda-Epureni
Comuna,Dumești,Vaslui,Primăria Comunei Dumești
Comuna,Dănești,Vaslui,Primăria Comunei Dănești
Comuna,Epureni,Vaslui,Primăria Comunei Epureni
Comuna,Fălciu,Vaslui,Primăria Comunei Fălciu
Comuna,Ferești,Vaslui,Primăria Comunei Ferești
Comuna,Fruntișeni,Vaslui,Primăria Comunei Fruntișeni
Comuna,Gherghești,Vaslui,Primăria Comunei Gherghești
Comuna,Grivița,Vaslui,Primăria Comunei Grivița
Comuna,Gârceni,Vaslui,Primăria Comunei Gârceni
Comuna,Găgești,Vaslui,Primăria Comunei Găgești
Comuna,Hoceni,Vaslui,Primăria Comunei Hoceni
Comuna,Iana,Vaslui,Primăria Comunei Iana
Comuna,Ibănești,Vaslui,Primăria Comunei Ibănești
Comuna,Ivești,Vaslui,Primăria Comunei Ivești
Comuna,Ivănești,Vaslui,Primăria Comunei Ivănești
Comuna,Laza,Vaslui,Primăria Comunei Laza
Comuna,Lipovăț,Vaslui,Primăria Comunei Lipovăț
Comuna,Lunca Banului,Vaslui,Primăria Comunei Lunca Banului
Comuna,Miclești,Vaslui,Primăria Comunei Miclești
Comuna,Muntenii de Jos,Vaslui,Primăria Comunei Muntenii de Jos
Comuna,Muntenii de Sus,Vaslui,Primăria Comunei Muntenii de Sus
Comuna,Mălușteni,Vaslui,Primăria Comunei Mălușteni
Comuna,Oltenești,Vaslui,Primăria Comunei Oltenești
Comuna,Oșești,Vaslui,Primăria Comunei Oșești
Comuna,Perieni,Vaslui,Primăria Comunei Perieni
Comuna,Pochidia,Vaslui,Primăria Comunei Pochidia
Comuna,Pogana,Vaslui,Primăria Comunei Pogana
Comuna,Pogonești,Vaslui,Primăria Comunei Pogonești
Comuna,Poienești,Vaslui,Primăria Comunei Poienești
Comuna,Puiești,Vaslui,Primăria Comunei Puiești
Comuna,Pungești,Vaslui,Primăria Comunei Pungești
Comuna,Pușcași,Vaslui,Primăria Comunei Pușcași
Comuna,Pădureni,Vaslui,Primăria Comunei Pădureni
Comuna,Rafaila,Vaslui,Primăria Comunei Rafaila
Comuna,Rebricea,Vaslui,Primăria Comunei Rebricea
Comuna,Roșiești,Vaslui,Primăria Comunei Roșiești
Comuna,Solești,Vaslui,Primăria Comunei Solești
Comuna,Stănilești,Vaslui,Primăria Comunei Stănilești
Comuna,Tanacu,Vaslui,Primăria Comunei Tanacu
Comuna,Todirești,Vaslui,Primăria Comunei Todirești
Comuna,Tutova,Vaslui,Primăria Comunei Tutova
Comuna,Tăcuta,Vaslui,Primăria Comunei Tăcuta
Comuna,Tătărăni,Vaslui,Primăria Comunei Tătărăni
Comuna,Vetrișoaia,Vaslui,Primăria Comunei Vetrișoaia
Comuna,Viișoara,Vaslui,Primăria Comunei Viișoara
Comuna,Vinderei,Vaslui,Primăria Comunei Vinderei
Comuna,Voinești,Vaslui,Primăria Comunei Voinești
Comuna,Vulturești,Vaslui,Primăria Comunei Vulturești
Comuna,Vutcani,Vaslui,Primăria Comunei Vutcani
Comuna,Văleni,Vaslui,Primăria Comunei Văleni
Comuna,Zorleni,Vaslui,Primăria Comunei Zorleni
Comuna,Zăpodeni,Vaslui,Primăria Comunei Zăpodeni
Comuna,Ștefan cel Mare,Vaslui,Primăria Comunei Ștefan cel Mare